발행기관코드,발행기관명,표준코드,단축코드,채권분류,변경전 발행기관코드,상장여부,활성여부,상장일,상장폐지일,한글종목명,영문종목명,채권유형,지방채구분,발행금액,발행일,발행통화,상환일,특이채권유형,보증담보,보증률(%),이자지급방법,발행방법,발행구분,크라우드펀딩여부,표면이자율 확정여부,표면이자율(%),낙찰금리(%),발행가액(%),만기상환율(%),특이발행조건,옵션,선/후/중순위,상환방법,물가연동구분,참조지수(%),신종자본증권여부,조건부자본증권 유형,유동화,휴무관련(원금),이자지급기준,경과금리(%),휴무관련(이자),이자 선/후급,이자지급주기(개월),이자지급기준일구분,이자계산주기(개월),이자원단위 미만처리,이자월말구분,단수일이자기준,최초이자지급일,매출형태,선매출이자 지급방법,선/후매출일,기명구분,보장수익률(%),보장수익률적용일,추가수익률(%),추가수익률적용일,(전자)등록기관,원리금지급대행기관,대표주관회사,보증기관,신용평가기관1,신용등급,신용평가기관2,신용평가기관3,신용평가기관4,CFI,FISN,Call 주체,Call 사유
02378,신한캐피탈(주),KR602378CA71,B02378CA7,할부금융채권 (116250),,상장,활성,2020-07-27,,신한캐피탈 425-5,SHINHAN CAPITAL 425-5,회사채,,"50,000,000,000",2020-07-24,원화,2023-01-24,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.505,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-10-24,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,한국투자증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNFB,SH CAPITAL/1.505 Bd 20230124 Sr,,
02378,신한캐피탈(주),KR602378DA70,B02378DA7,할부금융채권 (116250),,상장,활성,2020-07-27,,신한캐피탈 425-6,SHINHAN CAPITAL 425-6,회사채,,"110,000,000,000",2020-07-24,원화,2023-07-24,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.575,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-10-24,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,한국투자증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNFB,SH CAPITAL/1.575 Bd 20230724 Sr,,
02508,하나에프앤아이(주),KR6025081A51,B025081A5,일반사채 (116100),,상장,활성,2020-05-11,,하나에프앤아이 179-1,Hana F&I 179-1,회사채,,"93,000,000,000",2020-05-11,원화,2022-05-11,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.703,,100,100,개별민평(2Y)+80bp,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-11,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,한국투자증권(주),,NICE신용평가," ",,한국기업평가,,DBFUFB,Hana F&I/ Bd 20220511 Sr Ungtd,,
02508,하나에프앤아이(주),KR6025082A50,B025082A5,일반사채 (116100),,상장,활성,2020-05-11,,하나에프앤아이 179-2,Hana F&I 179-2,회사채,,"60,000,000,000",2020-05-11,원화,2023-05-11,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,2.847,,100,100,개별민평(3Y)+80bp,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-11,비매출,,,무기명,,,,,한국예탁결제원,(주)하나은행,한국투자증권(주),,NICE신용평가," ",,한국기업평가,,DBFUFB,Hana F&I/ Bd 20230511 Sr Ungtd,,
02882,한국증권금융(주),KR6028821A50,B028821A5,증권금융채 (116260),,상장,활성,2020-05-26,,증권금융채권 2020-2-1,KOREA SECURITIES FINANCE 2020-2-1,회사채,,"100,000,000,000",2020-05-26,원화,2023-05-26,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.211,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-26,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,KB증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFUFB,KSFC/1.211 Bd 20230526 Sr Ungtd,,
02882,한국증권금융(주),KR6028821A76,B028821A7,증권금융채 (116260),,상장,활성,2020-07-10,,증권금융채권 2020-3-1,KOREA SECURITIES FINANCE 2020-3-1,회사채,,"100,000,000,000",2020-07-10,원화,2023-07-10,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.107,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-10-10,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,KB증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFUFB,KSFC/1.107 Bd 20230710 Sr Ungtd,,
02882,한국증권금융(주),KR6028822A59,B028822A5,증권금융채 (116260),,상장,활성,2020-05-26,,증권금융채권 2020-2-2,KOREA SECURITIES FINANCE 2020-2-2,회사채,,"100,000,000,000",2020-05-26,원화,2025-05-26,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.462,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-26,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,KB증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFUFB,KSFC/1.462 Bd 20250526 Sr Ungtd,,
02882,한국증권금융(주),KR6028822A75,B028822A7,증권금융채 (116260),,상장,활성,2020-07-10,,증권금융채권 2020-3-2,KOREA SECURITIES FINANCE 2020-3-2,회사채,,"100,000,000,000",2020-07-10,원화,2025-07-10,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.374,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-10-10,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,KB증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFUFB,KSFC/1.374 Bd 20250710 Sr Ungtd,,
02969,롯데캐피탈(주),KR6029691A55,B029691A5,할부금융채권 (116250),,상장,활성,2020-05-12,,롯데캐피탈 393-1,LOTTE CAPITAL 393-1,회사채,,"30,000,000,000",2020-05-11,원화,2021-05-11,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.754,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-11,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,한양증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.754 Bd 20210511 Sr,,
02969,롯데캐피탈(주),KR6029691A63,B029691A6,할부금융채권 (116250),,상장,활성,2020-06-22,,롯데캐피탈 395-1,LOTTE CAPITAL 395-1,회사채,,"30,000,000,000",2020-06-19,원화,2021-12-17,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.521,,100,100,마지막 이자만 일할계산,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-09-19,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,KB증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.521 Bd 20211217 Sr,,
