발행기관코드,발행기관명,표준코드,단축코드,채권분류,변경전 발행기관코드,상장여부,활성여부,상장일,상장폐지일,한글종목명,영문종목명,채권유형,지방채구분,발행금액,발행일,발행통화,상환일,특이채권유형,보증담보,보증률(%),이자지급방법,발행방법,발행구분,크라우드펀딩여부,표면이자율 확정여부,표면이자율(%),낙찰금리(%),발행가액(%),만기상환율(%),특이발행조건,옵션,선/후/중순위,상환방법,물가연동구분,참조지수(%),신종자본증권여부,조건부자본증권 유형,유동화,휴무관련(원금),이자지급기준,경과금리(%),휴무관련(이자),이자 선/후급,이자지급주기(개월),이자지급기준일구분,이자계산주기(개월),이자원단위 미만처리,이자월말구분,단수일이자기준,최초이자지급일,매출형태,선매출이자 지급방법,선/후매출일,기명구분,보장수익률(%),보장수익률적용일,추가수익률(%),추가수익률적용일,(전자)등록기관,원리금지급대행기관,대표주관회사,보증기관,신용평가기관1,신용등급,신용평가기관2,신용평가기관3,신용평가기관4,CFI,FISN,Call 주체,Call 사유
00001,(주)신한은행,KR6000011A83,B000011A8,일반은행채 (116210),,상장,활성,2020-08-04,,신한은행 24-08-이-2-A,SHINHAN BANK 24-08COUP2A,회사채,,"350,000,000,000",2020-08-03,원화,2022-08-03,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,0.84,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-11-03,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,교보증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/0.84 Bd 20220803 Sr,,
00001,(주)신한은행,KR6000011A91,B000011A9,일반은행채 (116210),,상장,활성,2020-09-11,,신한은행 24-09-복-20-A,SHINHAN BANK 24-09COMP20-A,회사채,,"70,000,000,000",2020-09-10,원화,2040-09-10,일반채권,무보증,,고정금리형-복리채,공모-간접발행,국내발행,NO,확정,1.9,,100,100,Y1~Y20 : [(1+1.9%) ^P-1],Call(콜),선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,240,발행일,12,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,하나금융투자(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNGB,SHINHAN  BK/1.9 Bd 20400910 Sr,발행기관,2021년9월10일(해당일포함)이후매년9월10
00001,(주)신한은행,KR6000011AA7,B000011AA,일반은행채 (116210),,상장,활성,2020-10-12,,신한은행 24-10-이-11M-A(변동),SHINHAN BANK 24-10COUP11M-A,회사채,,"200,000,000,000",2020-10-08,원화,2021-09-08,일반채권,무보증,,변동금리형-이표채,공모-간접발행,국내발행,NO,확정,0.76,,100,100,CD1개월물 + 0.2%,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,1,발행일,1,절사,일자기준,,2020-11-08,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,한양증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBVNFB,SHINHAN  BK/Vari Bd 20210908 Sr,,
00001,(주)신한은행,KR6000012A82,B000012A8,일반은행채 (116210),,상장,활성,2020-08-10,,신한은행 24-08-이-1.5-A,SHINHAN BANK 24-08COUP1.5A,회사채,,"100,000,000,000",2020-08-07,원화,2022-02-07,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,0.79,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-11-07,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,하나금융투자(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/0.79 Bd 20220207 Sr,,
00001,(주)신한은행,KR6000012A90,B000012A9,일반은행채 (116210),,상장,활성,2020-09-11,,신한은행 24-09-복-20-B,SHINHAN BANK 24-09COMP20-B,회사채,,"70,000,000,000",2020-09-10,원화,2040-09-10,일반채권,무보증,,고정금리형-복리채,공모-간접발행,국내발행,NO,확정,1.9,,100,100,Y1~Y20 : [(1+1.9%) ^P -1],Call(콜),선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,240,발행일,12,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,하나금융투자(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNGB,SHINHAN  BK/1.9 Bd 20400910 Sr,발행기관,2021년9월10일(해당일포함)이후매년9월10
00001,(주)신한은행,KR6000012AA5,B000012AA,일반은행채 (116210),,상장,활성,2020-10-16,,신한은행 24-10-이-1-A(변동),SHINHAN BANK 24-10COUP1A,회사채,,"150,000,000,000",2020-10-15,원화,2021-10-15,일반채권,무보증,,변동금리형-이표채,공모-간접발행,국내발행,NO,확정,0.76,,100,100,cd1개월물 + 0.2%,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,1,발행일,1,절사,일자기준,,2020-11-15,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,이베스트투자증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBVNFB,SHINHAN  BK/Vari Bd 20211015 Sr,,
00001,(주)신한은행,KR6000013A81,B000013A8,일반은행채 (116210),,상장,활성,2020-08-14,,신한은행 24-08-이-2.5-A,SHINHAN BANK 24-08-COUP2.5A,회사채,,"150,000,000,000",2020-08-13,원화,2023-02-13,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,0.94,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-11-13,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,삼성증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/0.94 Bd 20230213 Sr,,
00001,(주)신한은행,KR6000013AA3,B000013AA,일반은행채 (116210),,상장,활성,2020-10-20,,신한은행 24-10-이-2-A,SHINHAN BANK 24-10COUP2A,회사채,,"120,000,000,000",2020-10-19,원화,2022-10-19,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,0.98,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2021-01-19,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,이베스트투자증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/0.98 Bd 20221019 Sr,,
00001,(주)신한은행,KR6000014AA1,B000014AA,일반은행채 (116210),,상장,활성,2020-10-21,,신한은행 24-10-이-1-B(변동),SHINHAN BANK 24-10COUP1B,회사채,,"100,000,000,000",2020-10-20,원화,2021-10-20,일반채권,무보증,,변동금리형-이표채,공모-간접발행,국내발행,NO,확정,0.75,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,1,발행일,1,절사,일자기준,,2020-11-20,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,한양증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBVNFB,SHINHAN  BK/Vari Bd 20211020 Sr,,
00001,(주)신한은행,KR6000015AA8,B000015AA,일반은행채 (116210),,상장,활성,2020-10-23,,신한은행 24-10-이-2-B,SHINHAN BANK 24-10COUP2B,회사채,,"260,000,000,000",2020-10-22,원화,2022-10-22,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.02,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2021-01-22,비매출,,,무기명,,,,,한국예탁결제원,(주)신한은행,교보증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNFB,SHINHAN  BK/1.02 Bd 20221022 Sr,,
00003,(주)우리은행,KR6000031A89,B000031A8,일반은행채 (116210),,상장,활성,2020-08-07,,우리은행 24-08-이표03갑06(지),WOORI BANK 24-08-COUP03@06(T),회사채,,"300,000,000,000",2020-08-06,원화,2023-08-06,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.01,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-11-06,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,하나금융투자(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNFB,Woori Bank/1.01 Bd 20230806 Sr,,
00003,(주)우리은행,KR6000031A97,B000031A9,일반은행채 (116210),,상장,활성,2020-09-15,,우리은행 24-09-이표01-갑-14,WOORI BANK 24-09-COUP01-@-14,회사채,,"200,000,000,000",2020-09-14,원화,2021-09-14,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,0.91,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-12-14,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,한양증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNFB,Woori Bank/0.91 Bd 20210914 Sr,,
00003,(주)우리은행,KR6000031AA5,B000031AA,일반은행채 (116210),,상장,활성,2020-10-12,,우리은행 24-10-이표01-갑-08,WOORI BANK 24-10-COUP01-@-08,회사채,,"400,000,000,000",2020-10-08,원화,2021-10-08,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,0.89,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2021-01-08,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,교보증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNFB,Woori Bank/0.89 Bd 20211008 Sr,,
00003,(주)우리은행,KR6000032A70,B000032A7,일반은행채 (116210),,상장,활성,2020-08-03,,우리은행 24-07-이표03-갑-31,WOORI BANK 24-07-COUP03-@-31,회사채,,"250,000,000,000",2020-07-31,원화,2023-07-31,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.02,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-10-31,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,교보증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBFNFB,Woori Bank/1.02 Bd 20230731 Sr,,
00003,(주)우리은행,KR6000032A88,B000032A8,일반은행채 (116210),,상장,활성,2020-08-21,,우리은행 2020-2 이중상환,WOORI BANK 2020-2 (Covered),회사채,,"300,000,000,000",2020-08-20,원화,2025-08-20,일반채권,커버드본드,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.32,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-11-20,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,교보증권(주),,NICE신용평가," ",한국신용평가,,,DBFSFB,Woori Bank/1.32 Bd 20250820 Sr,,
00003,(주)우리은행,KR6000032A96,B000032A9,일반은행채 (116210),,상장,활성,2020-10-05,,우리은행 24-09-할인9M-갑-29,WOORI BANK 24-09DIS9M@-29,회사채,,"300,000,000,000",2020-09-29,원화,2021-06-29,일반채권,무보증,,고정금리형-할인채,공모-간접발행,국내발행,NO,확정,0.89,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,,발행일,,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,하나금융투자(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBZNFB,Woori Bank/Disc Bd 20210629 Sr,,
00003,(주)우리은행,KR6000032AA3,B000032AA,일반은행채 (116210),,상장,활성,2020-10-13,,우리은행 24-10-할인11M-갑-12,WOORI BANK 24-10DIS11M@-12,회사채,,"300,000,000,000",2020-10-12,원화,2021-09-12,일반채권,무보증,,고정금리형-할인채,공모-간접발행,국내발행,NO,확정,0.88,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자있음),,,직후영업일(경과이자없음),후급,,발행일,,절사,일자기준,,,비매출,,,무기명,,,,,한국예탁결제원,(주)우리은행,한국투자증권(주),,NICE신용평가," ",한국신용평가,한국기업평가,,DBZNFB,Woori Bank/Disc Bd 20210912 Sr,,
