isin,tranches in same deal,parse_notes
KR60053219C2,KR60053219C2,special_bond_type contains 일반채권 -분리형BW
KR60053219C2,KR60053219C2,special_bond_type contains 일반채권 -분리형BW
KR60053219C2,KR60053219C2,special_bond_type contains 일반채권 -분리형BW
KR60034919B3,KR60034919B3,[]
KR60034929B2,KR60034919B3,[]
KR60195729A3,KR60195729A3,special_bond_type contains 일반채권 -분리형BW
KR60053219C2,KR60053219C2,special_bond_type contains 일반채권 -분리형BW
KR60053219C2,KR60053219C2,special_bond_type contains 일반채권 -분리형BW
KR60053219C2,KR60053219C2,special_bond_type contains 일반채권 -분리형BW
KR60053219C2,KR60053219C2,special_bond_type contains 일반채권 -분리형BW
KR60053219C2,KR60053219C2,special_bond_type contains 일반채권 -분리형BW
KR60053219C2,KR60053219C2,special_bond_type contains 일반채권 -분리형BW
KR60052819A4,KR60052819A4,[]
KR60052819B2,KR60052819B2,[]
KR60052829B1,KR60052829B1,[]
KR60000149A9,KR60000149A9,[]
KR60000159A8,KR60000159A8,[]
KR60000129B9,KR60000129B9,[]
KR60000119B0,KR60000119B0,[]
KR60000139B8,KR60000139B8,[]
KR60000149B7,KR60000149B7,[]
KR60000159B6,KR60000159B6,[]
KR60000169B5,KR60000169B5,[]
KR60000179B4,KR60000179B4,[]
KR60194519A9,KR60194519A9,[]
KR60194529A8,KR60194519A9,[]
KR60194539A7,KR60194519A9,[]
KR60194549A6,KR60194549A6,[]
KR60194559A5,KR60194549A6,[]
KR60194569A4,KR60194549A6,[]
KR60194519B7,KR60194519B7,[]
KR60194529B6,KR60194519B7,[]
KR60194539B5,KR60194519B7,[]
KR60194549B4,KR60194519B7,[]
KR60194559B3,KR60194559B3,[]
KR60194569B2,KR60194559B3,[]
KR60194579B1,KR60194559B3,[]
KR60194589B0,KR60194559B3,[]
KR60194519C5,KR60194519C5,[]
KR60194529C4,KR60194519C5,[]
KR60194539C3,KR60194519C5,[]
