isin,tranches in same deal,parse_notes,deal_num,post_notes
KR601980CA65,KR6019807A65,[],2394294.0,
KR6019801A79,KR6019801A79,[],2394292.0,
KR6019802A78,KR6019801A79,[],2394292.0,
KR6019803A77,KR6019801A79,[],2394292.0,
KR6019804A76,KR6019801A79,[],2394292.0,
KR6019805A75,KR6019801A79,[],2394292.0,
KR6019806A74,KR6019801A79,[],2394292.0,
KR6019807A73,KR6019807A73,[],2394295.0,
KR6019808A72,KR6019807A73,[],2394295.0,
KR6019809A71,KR6019807A73,[],2394295.0,
KR601980AA75,KR6019807A73,[],2394295.0,
KR601980BA74,KR6019807A73,[],2394295.0,
KR6000081A62,KR6000081A62,[],2394271.0,
KR6000082A61,KR6000081A62,[],2394271.0,
KR6064981A69,KR6064981A69,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[5].Id"":[""Id must be a positive number.""]}}'"
KR6064982A68,KR6064981A69,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[5].Id"":[""Id must be a positive number.""]}}'"
KR6064311A60,KR6064311A60,[],2394374.0,
KR6064312A69,KR6064311A60,[],2394374.0,
KR6064313A68,KR6064313A68,[],2394375.0,
KR6064314A67,KR6064313A68,[],2394375.0,
KR6064315A66,KR6064313A68,[],2394375.0,
KR6068171A78,KR6068171A78,[],2394385.0,
KR6068172A77,KR6068171A78,[],2394385.0,
KR6068173A76,KR6068171A78,[],2394385.0,
KR6063621A59,KR6063621A59,[],2394372.0,
KR6063622A58,KR6063621A59,[],2394372.0,
KR6063623A57,KR6063621A59,[],2394372.0,
KR6063621A67,KR6063621A67,[],2394373.0,
KR6063622A66,KR6063621A67,[],2394373.0,
KR6063321A52,KR6063321A52,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[2].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6063322A51,KR6063321A52,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[2].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6063323A50,KR6063321A52,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[2].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6063321A60,KR6063321A60,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6063322A69,KR6063321A60,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6063323A68,KR6063321A60,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6028821A50,KR6028821A50,[],2394307.0,
KR6028822A59,KR6028821A50,[],2394307.0,
KR6028821A76,KR6028821A76,[],2394308.0,
KR6028822A75,KR6028821A76,[],2394308.0,
KR6023761A53,KR6023761A53,[],2394418,
KR6023761A79,KR6023761A79,[],2394416,
KR6030491A71,KR6030491A71,['no original book runner info'],2394334.0,
KR6214341A65,KR6214341A65,[],2394407.0,
KR6047811A52,KR6047811A52,[],2394370.0,
KR6213501A55,KR6213501A55,[],2394406.0,
KR6003301A52,KR6003301A52,[],2394273.0,
KR6267271A59,KR6267271A59,[],2394409.0,
KR6267272A58,KR6267271A59,[],2394409.0,
KR6017801A65,KR6017801A65,[],2394289.0,
KR6004051A78,KR6004051A78,[],2394277.0,
KR6004052A77,KR6004051A78,[],2394277.0,
KR6004053A76,KR6004051A78,[],2394277.0,
KR6267261A77,KR6267261A77,[],2394408.0,
KR6267262A76,KR6267261A77,[],2394408.0,
KR6005381A50,KR6005381A50,[],2394280.0,
KR6005382A59,KR6005381A50,[],2394280.0,
KR6005383A58,KR6005381A50,[],2394280.0,
KR6004021A75,KR6004021A75,[],2394275.0,
KR6004022A74,KR6004021A75,[],2394275.0,
KR6004023A73,KR6004021A75,[],2394275.0,
KR6065901A55,KR6065901A55,[],2394376.0,
KR6065902A54,KR6065901A55,[],2394376.0,
KR6065903A53,KR6065901A55,[],2394376.0,
KR6065904A52,KR6065901A55,[],2394376.0,
KR6065905A51,KR6065901A55,[],2394376.0,
KR6065906A50,KR6065901A55,[],2394376.0,
KR6065907A59,KR6065907A59,[],2394382.0,
KR6065908A58,KR6065907A59,[],2394382.0,
KR6065909A57,KR6065909A57,[],2394383.0,
KR606590AA50,KR6065909A57,[],2394383.0,
KR606590BA59,KR6065909A57,[],2394383.0,
KR606590CA58,KR6065909A57,[],2394383.0,
KR606590DA57,KR606590DA57,[],2394384.0,
KR6065901A63,KR6065901A63,[],2394377.0,
KR6065902A62,KR6065902A62,[],2394379.0,
KR6065901A71,KR6065901A71,[],2394378.0,
KR6065902A70,KR6065901A71,[],2394378.0,
KR6065903A79,KR6065903A79,[],2394380.0,
KR6065904A78,KR6065903A79,[],2394380.0,
KR6065905A77,KR6065905A77,[],2394381.0,
KR6065906A76,KR6065905A77,[],2394381.0,
KR6029881A55,KR6029881A55,[],2394324.0,
KR6029882A54,KR6029882A54,[],2394327.0,
KR6029883A53,KR6029882A54,[],2394327.0,
KR6029884A52,KR6029884A52,[],2394329.0,
KR6029885A51,KR6029884A52,[],2394329.0,
KR6029886A50,KR6029884A52,[],2394329.0,
KR6029881A63,KR6029881A63,[],2394325.0,
KR6029882A62,KR6029882A62,[],2394328.0,
KR6029883A61,KR6029882A62,[],2394328.0,
KR6029884A60,KR6029882A62,[],2394328.0,
KR6029885A69,KR6029882A62,[],2394328.0,
KR6029886A68,KR6029886A68,[],2394330.0,
KR6029888A66,KR6029888A66,[],2394332.0,
KR6029887A67,KR6029888A66,[],2394332.0,
KR6029889A65,KR6029889A65,[],2394333.0,
KR6029881A71,KR6029881A71,[],2394326.0,
KR6029882A70,KR6029881A71,[],2394326.0,
KR6029883A79,KR6029881A71,[],2394326.0,
KR6029884A78,KR6029881A71,[],2394326.0,
KR6029885A77,KR6029881A71,[],2394326.0,
KR6029886A76,KR6029881A71,[],2394326.0,
KR6029887A75,KR6029887A75,[],2394331.0,
KR6029888A74,KR6029887A75,[],2394331.0,
KR6029889A73,KR6029887A75,[],2394331.0,
KR602988AA75,KR6029887A75,[],2394331.0,
KR602988BA74,KR6029887A75,[],2394331.0,
KR6095921A58,KR6095921A58,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6095922A57,KR6095921A58,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6095923A56,KR6095921A58,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6095924A55,KR6095924A55,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6095925A54,KR6095925A54,[],2394389.0,
KR6095926A53,KR6095925A54,[],2394389.0,
KR6095927A52,KR6095925A54,[],2394389.0,
KR6095928A51,KR6095928A51,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[3].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR6095929A50,KR6095928A51,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[3].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR609592AA52,KR6095928A51,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[3].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR609592BA51,KR6095928A51,['cannot find syndicate bank id 카카오페이증권'],0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[3].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR6095921A74,KR6095921A74,[],2394387.0,
KR6095922A73,KR6095922A73,[],2394388.0,
KR6039091A50,KR6039091A50,[],2394365.0,
KR6039092A59,KR6039091A50,[],2394365.0,
KR6298051A76,KR6298051A76,[],2394411.0,
KR6298052A75,KR6298051A76,[],2394411.0,
KR6046291A53,KR6046291A53,"['no original book runner info', 'no original book runner info']",2394367.0,
KR6046292A52,KR6046291A53,"['no original book runner info', 'no original book runner info']",2394367.0,
KR6046293A51,KR6046293A51,[],2394369.0,
KR6046291A61,KR6046291A61,[],2394368.0,
KR6000541A74,KR6000541A74,[],2394272.0,
