isin,tranches in same deal,parse_notes,deal_num
KR6251271AA3,KR6251271AA3,['no original book runner info'],2392031
KR6220031A91,KR6220031A91,['no original book runner info'],2392030
KR6042671AA8,KR6042671AA8,[],2392012
KR6363441AA7,KR6363441AA7,"['cannot find issuer comanpy id 디비고양삼송유동화전문 유한회사', 'no original book runner info']",0
KR6089861AA9,KR6089861AA9,[],2392019
KR6089862AA7,KR6089861AA9,[],2392019
KR6031011A96,KR6031011A96,[],2392009
KR6031012A95,KR6031011A96,[],2392009
KR6023531A94,KR6023531A94,[],2391994
KR6023532A93,KR6023531A94,[],2391994
KR6004991A97,KR6004991A97,[],2391988
KR6004992A96,KR6004991A97,[],2391988
KR6004993A95,KR6004991A97,[],2391988
KR6030621A82,KR6030621A82,[],2392001
KR6030622A81,KR6030621A82,[],2392001
KR6030623A80,KR6030623A80,[],2392004
KR6030624A89,KR6030623A80,[],2392004
KR6030625A88,KR6030623A80,[],2392004
KR6030626A87,KR6030626A87,[],2392007
KR6030627A86,KR6030626A87,[],2392007
KR6030628A85,KR6030626A87,[],2392007
KR6030629A84,KR6030629A84,[],2392008
KR603062AA80,KR6030629A84,[],2392008
KR603062BA89,KR6030629A84,[],2392008
KR6030621A90,KR6030621A90,[],2392002
KR6030621AA7,KR6030621AA7,[],2392003
KR6030622AA5,KR6030621AA7,[],2392003
KR6030623AA3,KR6030623AA3,[],2392005
KR6030624AA1,KR6030624AA1,[],2392006
KR6029692A88,KR6029692A88,[],2391997
KR6029693A87,KR6029692A88,[],2391997
KR6029694A86,KR6029694A86,[],2391999
KR6029695A85,KR6029695A85,[],2392000
KR6029691A97,KR6029691A97,[],2391995
KR6029692A96,KR6029691A97,[],2391995
KR6029693A95,KR6029693A95,[],2391998
KR6029691AA3,KR6029691AA3,[],2391996
KR6029692AA1,KR6029691AA3,[],2391996
KR6008561AA3,KR6008561AA3,['no original book runner info'],2391991
KR6008562AA1,KR6008561AA3,['no original book runner info'],2391991
KR6008563AA9,KR6008561AA3,['no original book runner info'],2391991
KR6169373A88,KR6169373A88,[],2392027
KR6169371A98,KR6169371A98,[],2392024
KR6169372A97,KR6169372A97,[],2392026
KR6169373A96,KR6169373A96,[],2392028
KR6169374A95,KR6169373A96,[],2392028
KR6169371AA2,KR6169371AA2,[],2392025
KR6169372AA0,KR6169371AA2,[],2392025
KR6169373AA8,KR6169371AA2,[],2392025
KR6169374AA6,KR6169371AA2,[],2392025
KR6169379AA5,KR6169379AA5,[],2392029
KR6006801A92,KR6006801A92,['no original book runner info'],2391989
KR6006802A91,KR6006801A92,['no original book runner info'],2391989
KR6006801AA5,KR6006801AA5,['no original book runner info'],2391990
KR6082971A97,KR6082971A97,[],2392017
KR6082972A96,KR6082971A97,[],2392017
KR6082973A95,KR6082971A97,[],2392017
KR6082974A94,KR6082971A97,[],2392017
KR6082975A93,KR6082975A93,[],2392059
KR6145761A88,KR6145761A88,['no original book runner info'],2392061
KR6145762A87,KR6145761A88,['no original book runner info'],2392061
KR6145763A86,KR6145761A88,['no original book runner info'],2392061
KR6145764A85,KR6145761A88,['no original book runner info'],2392061
KR6145765A84,KR6145765A84,['no original book runner info'],2392067
KR6145766A83,KR6145765A84,['no original book runner info'],2392067
KR6145767A82,KR6145765A84,['no original book runner info'],2392067
KR6145768A81,KR6145765A84,['no original book runner info'],2392067
KR6145769A80,KR6145769A80,['no original book runner info'],2392069
KR614576AA86,KR6145769A80,['no original book runner info'],2392069
KR614576BA85,KR614576BA85,['no original book runner info'],2392070
KR614576CA84,KR614576BA85,['no original book runner info'],2392070
KR614576DA83,KR614576BA85,['no original book runner info'],2392070
KR614576EA82,KR614576BA85,['no original book runner info'],2392070
KR6145761A96,KR6145761A96,['no original book runner info'],2392062
KR6145762A95,KR6145762A95,['no original book runner info'],2392064
KR6145763A94,KR6145762A95,['no original book runner info'],2392064
KR6145764A93,KR6145764A93,['no original book runner info'],2392065
KR6145765A92,KR6145764A93,['no original book runner info'],2392065
KR6145766A91,KR6145764A93,['no original book runner info'],2392065
KR6145767A90,KR6145767A90,['no original book runner info'],2392068
KR6145768A99,KR6145767A90,['no original book runner info'],2392068
KR6145769A98,KR6145767A90,['no original book runner info'],2392068
KR614576AA94,KR6145767A90,['no original book runner info'],2392068
KR614576BA93,KR6145767A90,['no original book runner info'],2392068
KR6145761AA3,KR6145761AA3,['no original book runner info'],2392063
KR6145762AA1,KR6145761AA3,['no original book runner info'],2392063
KR6145763AA9,KR6145761AA3,['no original book runner info'],2392063
KR6145764AA7,KR6145764AA7,['no original book runner info'],2392066
KR6145765AA4,KR6145764AA7,['no original book runner info'],2392066
KR6145766AA2,KR6145764AA7,['no original book runner info'],2392066
KR6008271A81,KR6008271A81,[],2392034
KR6008272A80,KR6008271A81,[],2392034
KR6008271A99,KR6008271A99,[],2392035
KR6008271AA9,KR6008271AA9,[],2392036
KR6008272AA7,KR6008271AA9,[],2392036
KR6016361A93,KR6016361A93,[],2392038
KR6016362A92,KR6016361A93,[],2392038
KR6016363A91,KR6016361A93,[],2392038
KR602978AA77,KR602978AA77,[],2392051
KR602978BA76,KR602978AA77,[],2392051
KR602978CA75,KR602978AA77,[],2392051
KR602978DA74,KR602978AA77,[],2392051
KR6029781A80,KR6029781A80,[],2392044
KR6029782A89,KR6029781A80,[],2392044
KR6029783A88,KR6029781A80,[],2392044
KR6029784A87,KR6029784A87,[],2392048
KR6029785A86,KR6029784A87,[],2392048
KR6029786A85,KR6029784A87,[],2392048
KR6029787A84,KR6029787A84,[],2392050
KR6029788A83,KR6029787A84,[],2392050
KR6029789A82,KR6029787A84,[],2392050
KR6029781A98,KR6029781A98,[],2392045
KR6029782A97,KR6029781A98,[],2392045
KR6029783A96,KR6029783A96,[],2392047
KR6029784A95,KR6029783A96,[],2392047
KR6029785A94,KR6029785A94,[],2392049
KR6029786A93,KR6029785A94,[],2392049
KR6029787A92,KR6029785A94,[],2392049
KR6029788A91,KR6029785A94,[],2392049
KR602978DA90,KR602978DA90,[],2392052
KR6029781AA2,KR6029781AA2,[],2392046
KR6029782AA0,KR6029781AA2,[],2392046
KR6029783AA8,KR6029781AA2,[],2392046
KR6029784AA6,KR6029781AA2,[],2392046
KR6150351A92,KR6150351A92,['cannot find issuer comanpy id 삼척블루파워'],2392046
KR6008671AA0,KR6008671AA0,[],2392037
KR6008672AA8,KR6008671AA0,[],2392037
KR6008673AA6,KR6008671AA0,[],2392037
KR6089261A83,KR6089261A83,[],2392060
KR6032711A89,KR6032711A89,[],2392053
KR6032712A88,KR6032711A89,[],2392053
KR6032713A87,KR6032711A89,[],2392053
KR6032714A86,KR6032714A86,[],2392055
KR6032715A85,KR6032714A86,[],2392055
KR6032716A84,KR6032714A86,[],2392055
KR6032717A83,KR6032714A86,[],2392055
KR603271AA87,KR603271AA87,[],2392057
KR6032711A97,KR6032711A97,[],2392054
KR6032716A92,KR6032716A92,[],2392056
KR6032717A91,KR6032716A92,[],2392056
KR6032718A90,KR6032716A92,[],2392056
KR6023781A83,KR6023781A83,[],2392039
KR6023782A82,KR6023781A83,[],2392039
KR6023783A81,KR6023781A83,[],2392039
KR6023784A80,KR6023784A80,[],2392043
KR6023785A89,KR6023784A80,[],2392043
KR6023786A88,KR6023784A80,[],2392043
KR6023787A87,KR6023784A80,[],2392043
KR6023788A86,KR6023784A80,[],2392043
KR6023781A91,KR6023781A91,[],2392040
KR6023782A90,KR6023782A90,[],2392042
KR6023783A99,KR6023782A90,[],2392042
KR6023784A98,KR6023782A90,[],2392042
KR6023785A97,KR6023782A90,[],2392042
KR6023781AA8,KR6023781AA8,[],2392041
KR6023782AA6,KR6023781AA8,[],2392041
KR6003411A91,KR6003411A91,[],2392033
KR6033661A87,KR6033661A87,[],2392058
KR6033662A86,KR6033661A87,[],2392058
KR6033663A85,KR6033663A85,[],2392094
KR6033661A95,KR6033661A95,[],2392092
KR6033662A94,KR6033661A95,[],2392092
KR6033663A93,KR6033661A95,[],2392092
KR6033664A92,KR6033661A95,[],2392092
KR6033661AA0,KR6033661AA0,[],2392093
KR6033662AA8,KR6033661AA0,[],2392093
KR6033663AA6,KR6033661AA0,[],2392093
KR6136301A84,KR6136301A84,[],2392099
KR6136301A92,KR6136301A92,[],2392100
KR6136302A91,KR6136302A91,[],2392102
KR6136301AA9,KR6136301AA9,[],2392101
KR6136302AA7,KR6136301AA9,[],2392101
KR6066261AA9,KR6066261AA9,[],2392095
KR6006121A95,KR6006121A95,[],2392072
KR6006122A94,KR6006121A95,[],2392072
KR6033631A92,KR6033631A92,[],2392091
KR6029271AA4,KR6029271AA4,['no original book runner info'],2392077
KR6029272AA2,KR6029271AA4,['no original book runner info'],2392077
KR6097243A89,KR6097243A89,[],2392169
KR6097241A81,KR6097241A81,[],2392097
KR6097242A80,KR6097241A81,[],2392097
KR6097241A99,KR6097241A99,[],2392096
KR6097242A98,KR6097241A99,[],2392096
KR6097243A97,KR6097241A99,[],2392096
KR6005941A95,KR6005941A95,['no original book runner info'],2392071
KR6005942A94,KR6005941A95,['no original book runner info'],2392071
KR6011071A87,KR6011071A87,[],2392073
KR6011072A86,KR6011071A87,[],2392073
KR6011073A85,KR6011071A87,[],2392073
KR6361861A80,KR6361861A80,"['cannot find issuer comanpy id 여주에너지서비스 주식회사', 'no original book runner info', 'no original book runner info']",2392073
KR6361862A89,KR6361861A80,"['cannot find issuer comanpy id 여주에너지서비스 주식회사', 'no original book runner info', 'no original book runner info']",2392073
KR6131791AA6,KR6131791AA6,[],2392098
KR6149141A99,KR6149141A99,['no original book runner info'],2392103
KR6149141AA4,KR6149141AA4,['no original book runner info'],2392104
KR6031524A70,KR6031524A70,[],2392084
KR6031522A80,KR6031522A80,[],2392080
KR6031523A89,KR6031523A89,[],2392083
KR6031524A88,KR6031524A88,[],2392085
KR6031525A87,KR6031525A87,[],2392087
KR6031526A86,KR6031526A86,[],2392089
KR6031527A85,KR6031526A86,[],2392089
KR6031521A99,KR6031521A99,[],2392078
KR6031522A98,KR6031522A98,[],2392081
KR6031525A95,KR6031525A95,[],2392088
KR6031526A94,KR6031525A95,[],2392088
KR6031527A93,KR6031527A93,[],2392090
KR6031521AA8,KR6031521AA8,[],2392079
KR6031522AA6,KR6031522AA6,[],2392082
KR6031524AA2,KR6031524AA2,[],2392086
KR6361531A80,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR636153AA80,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR636153BA89,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR636153CA88,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR636153DA87,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR636153EA86,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR636153FA85,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR636153GA84,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR636153HA83,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR6361532A89,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR6361533A88,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR6361534A87,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR6361535A86,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR6361536A85,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR6361537A84,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR6361538A83,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR6361539A82,KR6361531A80,"['cannot find issuer comanpy id 제이비우리캐피탈오토제이십이차유동화전문 유한회사', 'no original book runner info']",0
KR6095231A87,KR6095231A87,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info']",0
KR6095232A86,KR6095232A86,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info']",0
KR6095231A95,KR6095231A95,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info']",0
KR6095232A94,KR6095231A95,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info']",0
KR6095233A93,KR6095233A93,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info']",0
KR6095234A92,KR6095234A92,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info']",0
KR6152251AA5,KR6152251AA5,['no original book runner info'],2392105
KR6152252AA3,KR6152251AA5,['no original book runner info'],2392105
KR6021961A89,KR6021961A89,[],2392074
KR6021962A88,KR6021961A89,[],2392074
KR6021963A87,KR6021961A89,[],2392074
KR6021964A86,KR6021961A89,[],2392074
KR6021961A97,KR6021961A97,[],2392075
KR6021962A96,KR6021961A97,[],2392075
KR6021963A95,KR6021961A97,[],2392075
KR6021964A94,KR6021961A97,[],2392075
KR6021965A93,KR6021961A97,[],2392075
KR6021961AA8,KR6021961AA8,[],2392076
KR6021962AA6,KR6021961AA8,[],2392076
KR6021963AA4,KR6021961AA8,[],2392076
KR6021964AA2,KR6021961AA8,[],2392076
KR6310102A86,KR6310102A86,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6310103A85,KR6310103A85,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6310104A84,KR6310103A85,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6310105A83,KR6310105A83,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6310101A95,KR6310101A95,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6310102A94,KR6310102A94,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6310103A93,KR6310103A93,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6310104A92,KR6310104A92,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6310105A91,KR6310105A91,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6310106A90,KR6310105A91,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6310101AA1,KR6310101AA1,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6310102AA9,KR6310101AA1,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']",0
KR6063261A88,KR6063261A88,[],2392135
KR6063262A87,KR6063261A88,[],2392135
KR6063263A86,KR6063261A88,[],2392135
KR6086951A92,KR6086951A92,['no original book runner info'],2392143
KR6030751A92,KR6030751A92,['no original book runner info'],2392131
KR6030752A91,KR6030751A92,['no original book runner info'],2392131
KR6030753A90,KR6030751A92,['no original book runner info'],2392131
KR6030754A99,KR6030751A92,['no original book runner info'],2392131
KR6025081A85,KR6025081A85,[],2392119
KR6025082A84,KR6025081A85,[],2392119
KR6205491A95,KR6205491A95,[],2392148
KR6205492A94,KR6205491A95,[],2392148
KR6205491AA4,KR6205491AA4,[],2392149
KR6205492AA2,KR6205491AA4,[],2392149
KR6205493AA0,KR6205493AA0,[],2392150
KR6019801A87,KR6019801A87,[],2392110
KR6019802A86,KR6019801A87,[],2392110
KR6019803A85,KR6019801A87,[],2392110
KR6019804A84,KR6019801A87,[],2392110
KR6019805A83,KR6019801A87,[],2392110
KR6019806A82,KR6019801A87,[],2392110
KR6019807A81,KR6019807A81,[],2392113
KR6019808A80,KR6019807A81,[],2392113
KR6019809A89,KR6019807A81,[],2392113
KR601980AA83,KR6019807A81,[],2392113
KR6019801A95,KR6019801A95,['cannot find syndicate bank id 카카오페이증권'],0
KR6019802A94,KR6019801A95,['cannot find syndicate bank id 카카오페이증권'],0
KR6019803A93,KR6019801A95,['cannot find syndicate bank id 카카오페이증권'],0
KR6019804A92,KR6019801A95,['cannot find syndicate bank id 카카오페이증권'],0
KR6019805A91,KR6019801A95,['cannot find syndicate bank id 카카오페이증권'],0
KR6019806A90,KR6019806A90,[],2392112
KR6019807A99,KR6019806A90,[],2392112
KR6019808A98,KR6019806A90,[],2392112
KR6019809A97,KR6019806A90,[],2392112
KR601980AA91,KR6019806A90,[],2392112
KR6019801AA0,KR6019801AA0,[],2392111
KR6019802AA8,KR6019801AA0,[],2392111
KR6019803AA6,KR6019801AA0,[],2392111
KR6019804AA4,KR6019801AA0,[],2392111
KR6019805AA1,KR6019801AA0,[],2392111
KR6019806AA9,KR6019801AA0,[],2392111
KR6019807AA7,KR6019807AA7,[],2392114
KR6019808AA5,KR6019807AA7,[],2392114
KR6019809AA3,KR6019807AA7,[],2392114
KR601980AAA4,KR6019807AA7,[],2392114
KR601980BAA2,KR6019807AA7,[],2392114
KR601980CAA0,KR6019807AA7,[],2392114
KR601980DAA8,KR6019807AA7,[],2392114
KR6064311A94,KR6064311A94,[],2392137
KR6063621A83,KR6063621A83,[],2392136
KR6063622A82,KR6063621A83,[],2392136
KR6063623A81,KR6063621A83,[],2392136
KR6028821AA7,KR6028821AA7,[],2392120
KR6028822AA5,KR6028821AA7,[],2392120
KR6023765A83,KR6023765A83,[],2392118
KR6023761A95,KR6023761A95,[],2392115
KR6023762A94,KR6023761A95,[],2392115
KR6023763A93,KR6023763A93,[],2392117
KR6023764A92,KR6023763A93,[],2392117
KR6023765A91,KR6023763A93,[],2392117
KR6023766A90,KR6023763A93,[],2392117
KR6023761AA0,KR6023761AA0,[],2392116
KR6023762AA8,KR6023761AA0,[],2392116
KR6071051A93,KR6071051A93,[],2392142
KR6071052A92,KR6071051A93,[],2392142
KR6071053A91,KR6071051A93,[],2392142
KR6214341A99,KR6214341A99,[],2392151
KR6214342A98,KR6214341A99,[],2392151
KR6214343A97,KR6214343A97,[],2392152
KR6214344A96,KR6214344A96,[],2392153
KR6214345A95,KR6214345A95,[],2392154
KR6214346A94,KR6214345A95,[],2392154
KR6004711AA8,KR6004711AA8,[],2392108
KR6018881A90,KR6018881A90,[],2392109
KR6018882A99,KR6018881A90,[],2392109
KR6018883A98,KR6018881A90,[],2392109
KR6000721A92,KR6000721A92,[],2392107
KR6000722A91,KR6000721A92,[],2392107
KR6000723A90,KR6000721A92,[],2392107
KR6267251AA7,KR6267251AA7,['no original book runner info'],2392155
KR6065906A84,KR6065906A84,[],2392140
KR6065907A83,KR6065906A84,[],2392140
KR6065908A82,KR6065908A82,[],2392141
KR6065909A81,KR6065908A82,[],2392141
KR606590AA84,KR6065908A82,[],2392141
KR606590BA83,KR6065908A82,[],2392141
KR6065901A97,KR6065901A97,[],2392138
KR6065902A96,KR6065901A97,[],2392138
KR6065903A95,KR6065901A97,[],2392138
KR6065904A94,KR6065901A97,[],2392138
KR6065905A93,KR6065901A97,[],2392138
KR6065901AA1,KR6065901AA1,[],2392139
KR6065902AA9,KR6065901AA1,[],2392139
KR6065903AA7,KR6065901AA1,[],2392139
KR6065904AA5,KR6065901AA1,[],2392139
KR6029885A85,KR6029885A85,[],2392125
KR6029886A84,KR6029885A85,[],2392125
KR6029887A83,KR6029885A85,[],2392125
KR6029888A82,KR6029888A82,[],2392128
KR6029889A81,KR6029888A82,[],2392128
KR602988AA83,KR6029888A82,[],2392128
KR602988BA82,KR6029888A82,[],2392128
KR602988CA81,KR6029888A82,[],2392128
KR602988DA80,KR602988DA80,[],2392130
KR602988EA89,KR602988DA80,[],2392130
