isin,tranches in same deal,deal_number,parse_notes,parse_notes
KR6021961A48,KR6021961A48,2394875,[],
KR6021962A47,KR6021961A48,2394875,[],
KR6021963A46,KR6021961A48,2394875,[],
KR6021964A45,KR6021964A45,2394876,[],
KR6021965A44,KR6021964A45,2394876,[],
KR6021966A43,KR6021964A45,2394876,[],
KR6021967A42,KR6021967A42,2394877,[],
KR6021968A41,KR6021967A42,2394877,[],
KR6310101A12,KR6310101A12,0,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6310102A11,KR6310101A12,0,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6310102A37,KR6310102A37,0,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6310103A36,KR6310102A37,0,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6063261A47,KR6063261A47,2394878,[],
KR6063262A46,KR6063261A47,2394878,[],
KR6030751A19,KR6030751A19,2394879,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6030752A18,KR6030751A19,2394879,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6030753A17,KR6030751A19,2394879,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6030754A16,KR6030751A19,2394879,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6205491A20,KR6205491A20,2394880,[],
KR6205491A46,KR6205491A46,2394881,[],
KR6205492A45,KR6205492A45,2394882,[],
KR6205493A44,KR6205493A44,2394883,[],
KR6019801A12,KR6019801A12,2394884,[],
KR6019802A11,KR6019801A12,2394884,[],
KR6019803A10,KR6019801A12,2394884,[],
KR6019804A19,KR6019801A12,2394884,[],
KR6019805A18,KR6019801A12,2394884,[],
KR6019806A17,KR6019806A17,2394885,[],
KR6019807A16,KR6019806A17,2394885,[],
KR6019808A15,KR6019806A17,2394885,[],
KR6019809A14,KR6019806A17,2394885,[],
KR6019801A20,KR6019801A20,2394886,[],
KR6019802A29,KR6019801A20,2394886,[],
KR6019803A28,KR6019801A20,2394886,[],
KR6019804A27,KR6019801A20,2394886,[],
KR6019805A26,KR6019805A26,2394887,[],
KR6019806A25,KR6019805A26,2394887,[],
KR6019807A24,KR6019805A26,2394887,[],
KR6019808A23,KR6019805A26,2394887,[],
KR6019809A22,KR6019805A26,2394887,[],
KR6019801A38,KR6019801A38,2394888,[],
KR6019802A37,KR6019801A38,2394888,[],
KR6019803A36,KR6019801A38,2394888,[],
KR6019804A35,KR6019801A38,2394888,[],
KR6019805A34,KR6019801A38,2394888,[],
KR6019806A33,KR6019801A38,2394888,[],
KR6019807A32,KR6019801A38,2394888,[],
KR6019808A31,KR6019808A31,2394889,[],
KR6019809A30,KR6019808A31,2394889,[],
KR601980AA34,KR6019808A31,2394889,[],
KR6019801A46,KR6019801A46,2394891,[],
KR6019802A45,KR6019801A46,2394891,[],
KR6019803A44,KR6019801A46,2394891,[],
KR6019804A43,KR6019804A43,2394989,[],
KR6019805A42,KR6019804A43,2394989,[],
KR6064311A45,KR6064311A45,0,['cannot find syndicate bank id 카카오페이증권'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR6064312A44,KR6064311A45,0,['cannot find syndicate bank id 카카오페이증권'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR6063321A45,KR6063321A45,2394893,[],
KR6063322A44,KR6063321A45,2394893,[],
KR6063323A43,KR6063323A43,2394894,[],
KR6063324A42,KR6063323A43,2394894,[],
KR6063325A41,KR6063323A43,2394894,[],
KR6028821A27,KR6028821A27,2394895,[],
KR6023761A12,KR6023761A12,2394988,[],
KR6023762A11,KR6023761A12,2394988,[],
KR6023763A10,KR6023761A12,2394988,[],
KR6023764A19,KR6023764A19,2394896,[],
KR6023765A18,KR6023764A19,2394896,[],
KR6023766A17,KR6023766A17,2394897,[],
KR6023761A20,KR6023761A20,2394898,[],
KR6023762A29,KR6023761A20,2394898,[],
KR6023763A28,KR6023761A20,2394898,[],
KR6023764A27,KR6023761A20,2394898,[],
KR6023765A26,KR6023765A26,2394899,[],
KR6023766A25,KR6023765A26,2394899,[],
KR6023767A24,KR6023765A26,2394899,[],
KR6023768A23,KR6023768A23,2394900,[],
KR6023769A22,KR6023768A23,2394900,[],
KR6023761A38,KR6023761A38,2394901,[],
KR6023762A37,KR6023761A38,2394901,[],
KR6023763A36,KR6023761A38,2394901,[],
KR6023764A35,KR6023764A35,2394902,[],
KR6161391A34,KR6161391A34,2394904,[],
KR6161392A33,KR6161391A34,2394904,[],
KR6071051A28,KR6071051A28,2394905,[],
KR6071052A27,KR6071051A28,2394905,[],
KR6071053A26,KR6071051A28,2394905,[],
KR6004961A36,KR6004961A36,2394907,[],
KR6009831A17,KR6009831A17,2394908,[],
KR6009832A16,KR6009831A17,2394908,[],
KR6009831A41,KR6009831A41,2394909,[],
KR6012451A44,KR6012451A44,2394910,[],
KR6034611A29,KR6034611A29,2394911,[],
KR6000721A27,KR6000721A27,2394912,[],
KR6000722A26,KR6000721A27,2394912,[],
KR6086281A28,KR6086281A28,2394913,[],
KR6086282A27,KR6086281A28,2394913,[],
KR6004051A29,KR6004051A29,2394914,[],
KR6004052A28,KR6004051A29,2394914,[],
KR6004053A27,KR6004051A29,2394914,[],
KR6004054A26,KR6004051A29,2394914,[],
KR6353171A41,KR6353171A41,0,"['cannot find issuer comanpy id 현대오트론 주식회사', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6353172A40,KR6353171A41,0,"['cannot find issuer comanpy id 현대오트론 주식회사', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6011211A21,KR6011211A21,2394915,[],
KR6011212A20,KR6011211A21,2394915,[],
KR6004021A18,KR6004021A18,2394916,[],
KR6004022A17,KR6004021A18,2394916,[],
KR6004023A16,KR6004021A18,2394916,[],
KR6004024A15,KR6004021A18,2394916,[],
KR60659069C9,KR60659069C9,2394917,[],
KR60659079C8,KR60659079C8,2394918,[],
KR60659089C7,KR60659079C8,2394918,[],
KR6065901A14,KR6065901A14,2394919,[],
KR6065902A13,KR6065901A14,2394919,[],
KR6065903A12,KR6065901A14,2394919,[],
KR6065904A11,KR6065901A14,2394919,[],
KR6065905A10,KR6065905A10,2394920,[],
KR6065906A19,KR6065905A10,2394920,[],
KR6065907A18,KR6065907A18,2394921,[],
KR6065908A17,KR6065907A18,2394921,[],
KR6065909A16,KR6065907A18,2394921,[],
KR6065901A22,KR6065901A22,2394990,[],
KR6065902A21,KR6065902A21,2394922,[],
KR6065903A20,KR6065902A21,2394922,[],
KR6065904A29,KR6065902A21,2394922,[],
KR6065905A28,KR6065905A28,2394923,[],
KR6065906A27,KR6065905A28,2394923,[],
KR6065901A30,KR6065901A30,2394924,[],
KR6065902A39,KR6065901A30,2394924,[],
KR6065903A38,KR6065901A30,2394924,[],
KR6065904A37,KR6065901A30,2394924,[],
KR6065905A36,KR6065905A36,2394925,[],
KR6065901A48,KR6065901A48,2394926,[],
KR6065902A47,KR6065901A48,2394926,[],
KR6065903A46,KR6065901A48,2394926,[],
KR6065904A45,KR6065904A45,2394927,[],
KR6065905A44,KR6065904A45,2394927,[],
KR6065906A43,KR6065906A43,2394928,[],
KR6029881A14,KR6029881A14,2394929,[],
KR6029882A13,KR6029881A14,2394929,[],
KR6029883A12,KR6029883A12,2394930,[],
KR6029884A11,KR6029883A12,2394930,[],
KR6029885A10,KR6029883A12,2394930,[],
KR6029886A19,KR6029886A19,2394931,[],
KR6029881A22,KR6029881A22,2394932,[],
KR6029882A21,KR6029881A22,2394932,[],
KR6029883A20,KR6029883A20,2394933,[],
KR6029881A30,KR6029881A30,2394934,[],
KR6029882A39,KR6029881A30,2394934,[],
KR6029881A48,KR6029881A48,2394936,[],
KR6029882A47,KR6029881A48,2394936,[],
KR6029883A46,KR6029883A46,2394937,[],
KR6095921A17,KR6095921A17,2394938,[],
KR6095922A16,KR6095921A17,2394938,[],
KR6095923A15,KR6095921A17,2394938,[],
KR6095924A14,KR6095921A17,2394938,[],
KR6095921A25,KR6095921A25,2394939,[],
KR6095922A24,KR6095921A25,2394939,[],
KR6095923A23,KR6095921A25,2394939,[],
KR6095924A22,KR6095924A22,2394940,[],
KR6095925A21,KR6095924A22,2394940,[],
KR6095926A20,KR6095926A20,2394941,[],
KR6095927A29,KR6095926A20,2394941,[],
KR6095928A28,KR6095926A20,2394941,[],
KR6095921A33,KR6095921A33,2394942,[],
KR6095922A32,KR6095921A33,2394942,[],
KR6095923A31,KR6095921A33,2394942,[],
KR6095921A41,KR6095921A41,2394943,[],
KR6095922A40,KR6095922A40,2394944,[],
KR60462949C9,KR60462949C9,2394945,[],
KR60462959C8,KR60462949C9,2394945,[],
KR6046291A12,KR6046291A12,2394946,[],
KR6046292A11,KR6046291A12,2394946,[],
KR6046293A10,KR6046291A12,2394946,[],
KR6046294A19,KR6046294A19,2394947,[],
KR6046295A18,KR6046295A18,2394948,[],
KR6046296A17,KR6046295A18,2394948,[],
KR6046291A20,KR6046291A20,2394949,[],
KR6046292A29,KR6046292A29,2394950,[],
KR6046291A46,KR6046291A46,2394951,[],
KR6046292A45,KR6046291A46,2394951,[],
KR6046293A44,KR6046293A44,2394952,[],
KR6046294A43,KR6046293A44,2394952,[],
KR6046295A42,KR6046293A44,2394952,[],
KR6298001A28,KR6298001A28,2394953,[],
KR6298002A27,KR6298001A28,2394953,[],
