isin,tranches in same deal,deal_number,parse_notes,parse_notes
KR6069592A36,KR6069591A37,2394712,[],
KR6140171A18,KR6140171A18,2394713,[],
KR6140172A17,KR6140171A18,2394713,[],
KR6140173A16,KR6140171A18,2394713,[],
KR6140174A15,KR6140171A18,2394713,[],
KR6140175A14,KR6140175A14,2394714,[],
KR6140176A13,KR6140175A14,2394714,[],
KR6140177A12,KR6140175A14,2394714,[],
KR6140178A11,KR6140175A14,2394714,[],
KR6140179A10,KR6140175A14,2394714,[],
KR614017AA18,KR614017AA18,2394715,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR614017BA17,KR614017AA18,2394715,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR614017CA16,KR614017AA18,2394715,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR614017DA15,KR614017AA18,2394715,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6140171A34,KR6140171A34,2394716,[],
KR6140172A33,KR6140171A34,2394716,[],
KR6140171A42,KR6140171A42,2394717,[],
KR6140172A41,KR6140171A42,2394717,[],
KR6140173A40,KR6140173A40,2394718,[],
KR6140174A49,KR6140174A49,2394719,[],
KR6140175A48,KR6140174A49,2394719,[],
KR6009411A31,KR6009411A31,2394720,[],
KR6129131A28,KR6129131A28,2394721,[],
KR6129132A27,KR6129131A28,2394721,[],
KR6103141A47,KR6103141A47,2394722,[],
KR6086791A21,KR6086791A21,2394723,[],
KR6004941A31,KR6004941A31,2394724,['no original book runner info'],
KR6066561A21,KR6066561A21,0,['cannot find syndicate bank id 카카오페이증권'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR6066562A20,KR6066561A21,0,['cannot find syndicate bank id 카카오페이증권'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR6066561A39,KR6066561A39,2394725,['no original book runner info'],
KR6034831A23,KR6034831A23,2394727,[],
KR6000881A15,KR6000881A15,2394728,[],
KR6000882A14,KR6000881A15,2394728,[],
KR6068921A22,KR6068921A22,2394729,['no original book runner info'],
KR6101181A26,KR6101181A26,2394730,[],
KR6101182A25,KR6101181A26,2394730,[],
KR6101183A24,KR6101181A26,2394730,[],
KR6008771A45,KR6008771A45,2394731,[],
KR6008772A44,KR6008771A45,2394731,[],
KR6008773A43,KR6008771A45,2394731,[],
KR6095571A10,KR6095571A10,2394732,[],
KR6095572A19,KR6095571A10,2394732,[],
KR6005081A20,KR6005081A20,2394736,[],
KR6005082A29,KR6005081A20,2394736,[],
KR6005083A28,KR6005081A20,2394736,[],
KR6005084A27,KR6005081A20,2394736,[],
KR60793169C4,KR60793169C4,2394737,[],
KR60793179C3,KR60793169C4,2394737,[],
KR6079311A19,KR6079311A19,2394738,[],
KR6079312A18,KR6079311A19,2394738,[],
KR6079313A17,KR6079311A19,2394738,[],
KR6079314A16,KR6079314A16,2394739,[],
KR6079315A15,KR6079314A16,2394739,[],
KR6079316A14,KR6079314A16,2394739,[],
KR6079317A13,KR6079314A16,2394739,[],
KR6079311A27,KR6079311A27,2394740,[],
KR6079312A26,KR6079311A27,2394740,[],
KR6079313A25,KR6079313A25,2394741,[],
KR6079314A24,KR6079313A25,2394741,[],
KR6079315A23,KR6079313A25,2394741,[],
KR6079311A35,KR6079311A35,2394742,[],
KR6079312A34,KR6079311A35,2394742,[],
KR6079313A33,KR6079311A35,2394742,[],
KR6079311A43,KR6079311A43,2394743,[],
KR6079312A42,KR6079311A43,2394743,[],
KR6079313A41,KR6079313A41,2394744,[],
KR6079314A40,KR6079314A40,2394745,[],
KR6079315A49,KR6079314A40,2394745,[],
KR6079316A48,KR6079314A40,2394745,[],
KR6066571A29,KR6066571A29,2394746,[],
KR6066572A28,KR6066571A29,2394746,[],
KR6066573A27,KR6066571A29,2394746,[],
KR6010951A35,KR6010951A35,2394747,[],
KR6010952A34,KR6010951A35,2394747,[],
KR6010953A33,KR6010951A35,2394747,[],
KR6034731A24,KR6034731A24,2394748,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6034732A23,KR6034731A24,2394748,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6034733A22,KR6034731A24,2394748,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6034734A21,KR6034731A24,2394748,"['no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6018671A37,KR6018671A37,2394750,[],
KR6018672A36,KR6018671A37,2394750,[],
KR6018673A35,KR6018671A37,2394750,[],
KR6138091A43,KR6138091A43,2394751,"['no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6138092A42,KR6138091A43,2394751,"['no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6138093A41,KR6138091A43,2394751,"['no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6017671A13,KR6017671A13,2394752,[],
KR6017672A12,KR6017671A13,2394752,[],
KR6017673A11,KR6017671A13,2394752,[],
KR6017674A10,KR6017671A13,2394752,[],
KR6000271A47,KR6000271A47,2394753,[],
KR6000272A46,KR6000271A47,2394753,[],
KR6000273A45,KR6000271A47,2394753,[],
KR6001681A15,KR6001681A15,2394754,[],
KR6001682A14,KR6001681A15,2394754,[],
KR6016711A25,KR6016711A25,2394755,['no original book runner info'],
KR6003541A29,KR6003541A29,2394756,['no original book runner info'],
KR6006041A19,KR6006041A19,2394757,[],
KR6006042A18,KR6006041A19,2394757,[],
KR6042671A11,KR6042671A11,2394758,[],
KR6023531A45,KR6023531A45,2394759,[],
KR6280361A20,KR6280361A20,2394760,[],
KR6004991A48,KR6004991A48,2394761,[],
KR6005301A40,KR6005301A40,2394762,[],
KR6005302A49,KR6005301A40,2394762,[],
KR6030621A17,KR6030621A17,2394763,[],
KR6030622A16,KR6030621A17,2394763,[],
KR6030623A15,KR6030623A15,2394764,[],
KR6030624A14,KR6030623A15,2394764,[],
KR6030621A33,KR6030621A33,2394765,[],
KR6030622A32,KR6030621A33,2394765,[],
KR6030623A31,KR6030623A31,2394766,[],
KR6030624A30,KR6030623A31,2394766,[],
KR6030625A39,KR6030623A31,2394766,[],
KR6030626A38,KR6030626A38,2394767,[],
KR6029691A14,KR6029691A14,2394768,[],
KR6029692A13,KR6029691A14,2394768,[],
KR6029693A12,KR6029693A12,2394769,[],
KR6029694A11,KR6029693A12,2394769,[],
KR6029691A22,KR6029691A22,2394770,[],
KR6029692A21,KR6029691A22,2394770,[],
KR6029693A20,KR6029693A20,2394771,[],
KR6029694A29,KR6029693A20,2394771,[],
KR6029691A30,KR6029691A30,2394772,[],
KR6029692A39,KR6029692A39,2394773,[],
KR6029693A38,KR6029692A39,2394773,[],
KR6029694A37,KR6029692A39,2394773,[],
KR6029695A36,KR6029692A39,2394773,[],
KR6029691A48,KR6029691A48,2394774,[],
KR6002271A43,KR6002271A43,2394775,[],
KR6167161A21,KR6167161A21,2394776,[],
KR6167162A20,KR6167161A21,2394776,[],
KR6008561A15,KR6008561A15,2394777,"['no original book runner info', 'no original book runner info']",
KR6008562A14,KR6008561A15,2394777,"['no original book runner info', 'no original book runner info']",
KR6008561A49,KR6008561A49,2394778,['no original book runner info'],
KR6169371A15,KR6169371A15,2394779,[],
KR6169372A14,KR6169371A15,2394779,[],
KR6169373A13,KR6169373A13,2394780,[],
KR6169374A12,KR6169373A13,2394780,[],
KR6169375A11,KR6169373A13,2394780,[],
KR6169376A10,KR6169376A10,2394781,[],
KR6169377A19,KR6169376A10,2394781,[],
KR6169378A18,KR6169376A10,2394781,[],
KR6169371A23,KR6169371A23,2394782,[],
KR6169372A22,KR6169371A23,2394782,[],
KR6169373A21,KR6169371A23,2394782,[],
KR6169374A20,KR6169371A23,2394782,[],
KR6169375A29,KR6169375A29,2394995,[],
KR6169376A28,KR6169375A29,2394995,[],
KR6169377A27,KR6169375A29,2394995,[],
KR6169371A49,KR6169371A49,2394783,[],
KR6169372A48,KR6169371A49,2394783,[],
KR6169373A47,KR6169373A47,2394784,[],
KR6169374A46,KR6169373A47,2394784,[],
KR6000061A25,KR6000061A25,2394985,[],
KR6006801A19,KR6006801A19,2394786,"['no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6006802A18,KR6006801A19,2394786,"['no original book runner info', 'no original book runner info', 'no original book runner info']",
KR6006803A17,KR6006801A19,2394786,"['no original book runner info', 'no original book runner info', 'no original book runner info']",
