isin,tranches in same deal,parse_notes
KR6138931A54,KR6138931A54,[]
KR6017941A66,KR6017941A66,[]
KR6175331A52,KR6175331A52,[]
KR6175332A51,KR6175331A52,[]
KR6105561A50,KR6105561A50,[]
KR6105562A59,KR6105561A50,[]
KR6105563A58,KR6105563A58,[]
KR6105564A57,KR6105563A58,[]
