isin,tranches in same deal,deal_number,parse_notes,post_notes
KR61401769B5,KR61401759B6,2395456,[],
KR61401719C8,KR61401719C8,2395457,[],
KR61401729C7,KR61401719C8,2395457,[],
KR61401739C6,KR61401719C8,2395457,[],
KR61401749C5,KR61401719C8,2395457,[],
KR61401759C4,KR61401719C8,2395457,[],
KR61401769C3,KR61401769C3,2395458,[],
KR61401779C2,KR61401769C3,2395458,[],
KR61401789C1,KR61401769C3,2395458,[],
KR60023819B8,KR60023819B8,2395459,"['no original book runner info', 'no original book runner info']",
KR60023829B7,KR60023819B8,2395459,"['no original book runner info', 'no original book runner info']",
KR60302019A9,KR60302019A9,2395460,[],
KR60302029A8,KR60302019A9,2395460,[],
KR60302039A7,KR60302019A9,2395460,[],
KR60302049A6,KR60302019A9,2395460,[],
KR62649019C3,KR62649019C3,2395461,[],
KR60342319A5,KR60342319A5,2395462,[],
KR60054919A0,KR60054919A0,2395463,[],
KR60054929A9,KR60054919A0,2395463,[],
