isin,tranches in same deal,deal_number,parse_notes,post_notes
KR60327119B6,KR60327119B6,2395547,[],
KR60327129B5,KR60327119B6,2395547,[],
KR60327139B4,KR60327139B4,2395549,[],
KR60327149B3,KR60327139B4,2395549,[],
KR60327159B2,KR60327139B4,2395549,[],
KR60327169B1,KR60327169B1,2395550,[],
KR60327179B0,KR60327169B1,2395550,[],
KR60327189B9,KR60327169B1,2395550,[],
KR60327119C4,KR60327119C4,2395551,[],
KR60327129C3,KR60327119C4,2395551,[],
KR60327139C2,KR60327139C2,2395552,[],
KR60327149C1,KR60327139C2,2395552,[],
KR60237819A2,KR60237819A2,2395553,[],
KR60237829A1,KR60237819A2,2395553,[],
KR60237839A0,KR60237819A2,2395553,[],
KR60237819B0,KR60237819B0,2395554,[],
KR60237829B9,KR60237819B0,2395554,[],
KR60237839B8,KR60237819B0,2395554,[],
KR60237849B7,KR60237819B0,2395554,[],
KR60237859B6,KR60237819B0,2395554,[],
KR60237869B5,KR60237819B0,2395554,[],
KR60237879B4,KR60237879B4,2395555,[],
KR60237889B3,KR60237879B4,2395555,[],
KR60237899B2,KR60237879B4,2395555,[],
KR602378A9B8,KR60237879B4,2395555,[],
KR602378B9B7,KR60237879B4,2395555,[],
KR602378C9B6,KR60237879B4,2395555,[],
KR60237829C7,KR60237829C7,2395556,[],
KR60237839C6,KR60237829C7,2395556,[],
KR60237819C8,KR60237829C7,2395556,[],
KR60237849C5,KR60237849C5,2395558,[],
KR60237859C4,KR60237849C5,2395558,[],
KR60237869C3,KR60237849C5,2395558,[],
KR60237879C2,KR60237879C2,2395559,[],
KR60336629A5,KR60336629A5,2395560,[],
KR60336639A4,KR60336629A5,2395560,[],
KR60336649A3,KR60336629A5,2395560,[],
KR60336669A1,KR60336669A1,2395561,[],
KR60336679A0,KR60336669A1,2395561,[],
KR60336689A9,KR60336669A1,2395561,[],
KR60336619B4,KR60336619B4,2395562,[],
KR60336629B3,KR60336619B4,2395562,[],
KR60336639B2,KR60336619B4,2395562,[],
KR60336649B1,KR60336619B4,2395562,[],
KR60336659B0,KR60336619B4,2395562,[],
KR60336619C2,KR60336619C2,2395563,[],
KR60336629C1,KR60336619C2,2395563,[],
KR60336639C0,KR60336619C2,2395563,[],
KR60336649C9,KR60336619C2,2395563,[],
KR60336659C8,KR60336659C8,2395564,[],
KR60336669C7,KR60336659C8,2395564,[],
KR60336679C6,KR60336659C8,2395564,[],
KR60336689C5,KR60336659C8,2395564,[],
KR61363019A3,KR61363019A3,2395565,[],
KR61363029A2,KR61363029A2,2395566,[],
KR61363019B1,KR61363019B1,2395567,[],
KR61363029B0,KR61363019B1,2395567,[],
KR61363039B9,KR61363019B1,2395567,[],
KR61363049B8,KR61363049B8,2395568,[],
KR61363019C9,KR61363019C9,2395569,[],
KR60033419A7,KR60033419A7,2395570,[],
KR60684019A7,KR60684019A7,2395571,[],
KR60292719A6,KR60292719A6,2395572,"['no original book runner info', 'no original book runner info']",
KR60292729A5,KR60292719A6,2395572,"['no original book runner info', 'no original book runner info']",
KR62063519A3,KR62063519A3,2395573,[],
KR62851319A4,KR62851319A4,2395574,[],
KR62851329A3,KR62851319A4,2395574,[],
KR60972419A0,KR60972419A0,2395575,[],
KR60972429A9,KR60972419A0,2395575,[],
KR60972439A8,KR60972419A0,2395575,[],
KR60972449A7,KR60972419A0,2395575,[],
KR60972419B8,KR60972419B8,2395576,[],
KR60972429B7,KR60972419B8,2395576,[],
KR60972439B6,KR60972419B8,2395576,[],
KR60101219A8,KR60101219A8,2395577,"['no original book runner info', 'no original book runner info']",
KR60101229A7,KR60101219A8,2395577,"['no original book runner info', 'no original book runner info']",
KR61042319A6,KR61042319A6,2395578,"['no original book runner info', 'no original book runner info']",
KR61042329A5,KR61042319A6,2395578,"['no original book runner info', 'no original book runner info']",
KR61491419B8,KR61491419B8,2395579,[],
KR61491429B7,KR61491419B8,2395579,[],
KR60315219B8,KR60315219B8,2395580,[],
KR60496319B7,KR60496319B7,2395581,['no original book runner info'],
KR60952319A6,KR60952319A6,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR60952329A5,KR60952319A6,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR60952339A4,KR60952319A6,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR60952319B4,KR60952319B4,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR60952319C2,KR60952319C2,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR60952329C1,KR60952319C2,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR60952339C0,KR60952319C2,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR60952349C9,KR60952319C2,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR60952359C8,KR60952319C2,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR60376419B0,KR60376419B0,2395582,"['no original book runner info', 'no original book runner info']",
KR60376429B9,KR60376419B0,2395582,"['no original book runner info', 'no original book runner info']",
KR63355719A4,KR63355719A4,2395583,['no original book runner info'],
KR60878019A3,KR60878019A3,2395584,[],
KR60219619A8,KR60219619A8,2395585,[],
KR60219629A7,KR60219619A8,2395585,[],
KR60219639A6,KR60219619A8,2395585,[],
KR60219649A5,KR60219619A8,2395585,[],
KR60219659A4,KR60219619A8,2395585,[],
KR60219669A3,KR60219669A3,2395586,[],
KR60219679A2,KR60219669A3,2395586,[],
KR60219689A1,KR60219669A3,2395586,[],
KR60219699A0,KR60219669A3,2395586,[],
KR602196A9A0,KR602196A9A0,2395587,[],
KR602196B9A9,KR602196A9A0,2395587,[],
KR602196C9A8,KR602196A9A0,2395587,[],
KR602196D9A7,KR602196A9A0,2395587,[],
KR602196E9A6,KR602196A9A0,2395587,[],
KR60219619B6,KR60219619B6,2395588,[],
KR60219629B5,KR60219619B6,2395588,[],
KR60219639B4,KR60219619B6,2395588,[],
KR60219649B3,KR60219619B6,2395588,[],
KR60219659B2,KR60219619B6,2395588,[],
KR60219669B1,KR60219619B6,2395588,[],
KR60219679B0,KR60219619B6,2395588,[],
KR60219689B9,KR60219689B9,2395589,[],
KR60219699B8,KR60219689B9,2395589,[],
KR60219619C4,KR60219619C4,2395590,[],
KR60219629C3,KR60219619C4,2395590,[],
KR60219639C2,KR60219619C4,2395590,[],
KR60219649C1,KR60219619C4,2395590,[],
KR60219659C0,KR60219619C4,2395590,[],
KR60219669C9,KR60219669C9,2395591,[],
KR60219679C8,KR60219669C9,2395591,[],
KR60219689C7,KR60219669C9,2395591,[],
KR60219699C6,KR60219669C9,2395591,[],
KR602196A9C6,KR60219669C9,2395591,[],
KR602196B9C5,KR602196B9C5,2395592,[],
KR602196C9C4,KR602196B9C5,2395592,[],
KR602196D9C3,KR602196B9C5,2395592,[],
KR602196E9C2,KR602196B9C5,2395592,[],
KR602196F9C1,KR602196B9C5,2395592,[],
KR602196G9C0,KR602196B9C5,2395592,[],
KR602196H9C9,KR602196B9C5,2395592,[],
KR60036919A3,KR60036919A3,0,['cannot find issuer comanpy id 코리안리재보험'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR60198819C5,KR60198819C5,2395593,[],
KR63101029A5,KR63101029A5,0,"['cannot find issuer comanpy id 키움캐피탈 주식회사', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR62155919A4,KR62155919A4,2395594,"['no original book runner info', 'no original book runner info']",
KR62155929A3,KR62155919A4,2395594,"['no original book runner info', 'no original book runner info']",
KR61877419A4,KR61877419A4,2395595,[],
KR60869519A3,KR60869519A3,2395596,['no original book runner info'],
KR61031619A2,KR61031619A2,2395597,[],
KR60307519A3,KR60307519A3,2395598,['no original book runner info'],
KR60250819B2,KR60250819B2,2395599,[],
KR60250829B1,KR60250819B2,2395599,[],
KR62054919A6,KR62054919A6,2395600,[],
KR62054929A5,KR62054919A6,2395600,[],
KR62054939A4,KR62054919A6,2395600,[],
KR62054949A3,KR62054949A3,2395601,[],
KR62054919B4,KR62054919B4,2395602,[],
KR62054919C2,KR62054919C2,2395603,[],
KR62054929C1,KR62054929C1,2395604,[],
KR62054939C0,KR62054929C1,2395604,[],
KR60198019A6,KR60198019A6,2395605,[],
KR60198029A5,KR60198019A6,2395605,[],
KR60198039A4,KR60198019A6,2395605,[],
KR60198049A3,KR60198019A6,2395605,[],
KR60198059A2,KR60198019A6,2395605,[],
KR60198069A1,KR60198069A1,2395606,[],
KR60198079A0,KR60198069A1,2395606,[],
KR60198089A9,KR60198069A1,2395606,[],
KR60198099A8,KR60198069A1,2395606,[],
KR601980A9A2,KR60198069A1,2395606,[],
KR60198019B4,KR60198019B4,2395607,[],
KR60198029B3,KR60198019B4,2395607,[],
KR60198039B2,KR60198019B4,2395607,[],
KR60198049B1,KR60198019B4,2395607,[],
KR60198059B0,KR60198019B4,2395607,[],
KR60198069B9,KR60198069B9,2395608,[],
KR60198079B8,KR60198069B9,2395608,[],
KR60198089B7,KR60198069B9,2395608,[],
KR60198099B6,KR60198069B9,2395608,[],
KR601980A9B0,KR60198069B9,2395608,[],
KR60198019C2,KR60198019C2,2395609,[],
KR60198029C1,KR60198019C2,2395609,[],
KR60198039C0,KR60198019C2,2395609,[],
KR60198049C9,KR60198019C2,2395609,[],
KR60198059C8,KR60198019C2,2395609,[],
KR60643119B3,KR60643119B3,2395610,[],
KR60643129B2,KR60643119B3,2395610,[],
KR60643119C1,KR60643119C1,2395611,[],
KR60643129C0,KR60643119C1,2395611,[],
KR60681719A5,KR60681719A5,2395612,[],
KR60681729A4,KR60681719A5,2395612,[],
KR60633219A5,KR60633219A5,2395613,[],
KR60633229A4,KR60633219A5,2395613,[],
KR60633239A3,KR60633219A5,2395613,[],
KR60633219B3,KR60633219B3,2395614,[],
KR60633229B2,KR60633219B3,2395614,[],
KR60633239B1,KR60633219B3,2395614,[],
KR60288219A3,KR60288219A3,2395615,[],
KR60288219B1,KR60288219B1,2395616,[],
KR60237619A6,KR60237619A6,2395617,[],
KR60237629A5,KR60237619A6,2395617,[],
KR60237639A4,KR60237619A6,2395617,[],
KR60237649A3,KR60237619A6,2395617,[],
KR60237659A2,KR60237659A2,2395618,[],
KR60237619B4,KR60237619B4,2395619,[],
KR60237629B3,KR60237619B4,2395619,[],
KR60237619C2,KR60237619C2,2395620,[],
KR60237629C1,KR60237629C1,2395621,[],
KR60710519A4,KR60710519A4,2395622,[],
KR60710529A3,KR60710519A4,2395622,[],
KR62143419A0,KR62143419A0,2395623,[],
KR62143429A9,KR62143429A9,2395624,[],
KR62143419B8,KR62143419B8,2395625,[],
KR62143429B7,KR62143419B8,2395625,[],
KR62143419C6,KR62143419C6,2395626,[],
KR62143429C5,KR62143419C6,2395626,[],
KR60098319A1,KR60098319A1,2395627,[],
KR60098329A0,KR60098319A1,2395627,[],
KR60098339A9,KR60098319A1,2395627,[],
KR60124519A4,KR60124519A4,2395628,[],
KR60124529A3,KR60124519A4,2395628,[],
KR60769519A4,KR60769519A4,2395629,[],
KR60769529A3,KR60769519A4,2395629,[],
KR60769539A2,KR60769519A4,2395629,[],
KR60035319A7,KR60035319A7,2395630,"['no original book runner info', 'no original book runner info']",
KR60035329A6,KR60035319A7,2395630,"['no original book runner info', 'no original book runner info']",
KR60766119B4,KR60766119B4,2395631,['no original book runner info'],
KR60178019A0,KR60178019A0,2395632,[],
KR60040519A5,KR60040519A5,2395633,[],
KR60040529A4,KR60040519A5,2395633,[],
KR60040539A3,KR60040519A5,2395633,[],
KR60117619B9,KR60117619B9,2395634,[],
KR6065908990,KR6065908990,2395635,[],
KR60659019A8,KR60659019A8,2395636,[],
KR60659029A7,KR60659019A8,2395636,[],
KR60659039A6,KR60659019A8,2395636,[],
KR60659049A5,KR60659019A8,2395636,[],
KR60659059A4,KR60659019A8,2395636,[],
KR60659069A3,KR60659069A3,2395637,[],
KR60659079A2,KR60659069A3,2395637,[],
KR60659089A1,KR60659069A3,2395637,[],
KR60659099A0,KR60659069A3,2395637,[],
KR606590A9A3,KR60659069A3,2395637,[],
KR606590B9A2,KR606590B9A2,2395638,[],
KR606590C9A1,KR606590C9A1,2395639,[],
KR606590D9A0,KR606590D9A0,2395640,[],
KR606590E9A9,KR606590E9A9,2395641,[],
KR606590F9A8,KR606590E9A9,2395641,[],
KR606590G9A7,KR606590G9A7,2395642,[],
KR60659019B6,KR60659019B6,2395643,[],
KR60659029B5,KR60659019B6,2395643,[],
KR60659039B4,KR60659019B6,2395643,[],
KR60659049B3,KR60659049B3,2395644,[],
KR60659059B2,KR60659059B2,2395645,[],
KR60659069B1,KR60659059B2,2395645,[],
KR60659019C4,KR60659019C4,2395646,[],
KR60659029C3,KR60659029C3,2395647,[],
KR60659039C2,KR60659029C3,2395647,[],
KR60659049C1,KR60659029C3,2395647,[],
KR60659059C0,KR60659059C0,2395648,[],
KR6029888999,KR6029888999,2395649,[],
KR6029889997,KR6029888999,2395649,[],
KR602988A990,KR6029888999,2395649,[],
KR602988B998,KR6029888999,2395649,[],
KR60298819A8,KR60298819A8,2395650,[],
KR60298829A7,KR60298819A8,2395650,[],
KR60298839A6,KR60298819A8,2395650,[],
KR60298849A5,KR60298819A8,2395650,[],
KR60298859A4,KR60298859A4,2395651,[],
KR60298869A3,KR60298859A4,2395651,[],
KR60298879A2,KR60298859A4,2395651,[],
KR60298889A1,KR60298889A1,2395652,[],
KR60298899A0,KR60298889A1,2395652,[],
KR602988A9A2,KR60298889A1,2395652,[],
KR602988B9A1,KR602988B9A1,2395653,[],
KR602988C9A0,KR602988B9A1,2395653,[],
KR602988D9A9,KR602988D9A9,2395654,[],
KR60298819B6,KR60298819B6,2395655,[],
KR60298829B5,KR60298819B6,2395655,[],
KR60298839B4,KR60298819B6,2395655,[],
KR60298849B3,KR60298849B3,2395656,[],
KR60298859B2,KR60298849B3,2395656,[],
KR60298869B1,KR60298869B1,2395657,[],
KR60298879B0,KR60298869B1,2395657,[],
KR60298819C4,KR60298819C4,2395658,[],
KR60298829C3,KR60298819C4,2395658,[],
KR60298839C2,KR60298819C4,2395658,[],
KR60959219A1,KR60959219A1,2395659,[],
KR60959219B9,KR60959219B9,0,[],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Tranches[0]: MaturityDate must be after FirstCouponDate.""]}}'"
KR60959219C7,KR60959219C7,2395660,[],
KR60959229C6,KR60959219C7,2395660,[],
KR60462919A6,KR60462919A6,2395661,[],
KR60462929A5,KR60462929A5,2395662,[],
KR60462919B4,KR60462919B4,2395663,[],
KR60462929B3,KR60462919B4,2395663,[],
KR60462939B2,KR60462939B2,2395664,[],
KR60462949B1,KR60462949B1,2395665,[],
KR60462959B0,KR60462949B1,2395665,[],
KR60462919C2,KR60462919C2,2395666,[],
KR60462929C1,KR60462919C2,2395666,[],
KR60462939C0,KR60462919C2,2395666,[],
KR62980019C0,KR62980019C0,2395667,[],
KR62980029C9,KR62980019C0,2395667,[],
