ISIN,deal_num,notes,post_notes
KR6000273A45,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""],""deal.Tranches[2].Syndicate[0].Id"":[""Id must be a positive number.""]}}'",
KR6000401A57,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6000541A74,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""],""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""],""deal.Tranches[0].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6000641A57,2391082.0,,
KR6000721A92,2391083.0,,
KR6000722A91,2391083.0,,
KR6000723A90,2391083.0,,
KR6000881A64,2391084.0,,
KR6001122A53,2362746.0,,
KR6001791A53,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[0].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR6001792A52,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[0].Id"":[""Id must be a positive number.""]}}'",
KR6002271A43,2391085.0,,
KR6002322A75,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[0].Syndicate.Id\', line 1, position 2114.""],""deal"":[""Syndicate on tranche 0 must be specified.""]}}'"
KR6002381A65,2391086.0,,
KR6003301A52,2391087.0,,
KR6003341A62,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""],""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[1].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""],""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[1].Id"":[""Id must be a positive number.""]}}'"
KR6003342A61,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""],""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[1].Id"":[""Id must be a positive number.""]}}'",
KR6003411A91,2391088.0,,
KR6003451A68,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified. Syndicate on tranche 1 must be specified.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[0].Syndicate.Id\', line 1, position 2106.""],""deal.Tranches[1].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[1].Syndicate.Id\', line 1, position 3483.""],""deal"":[""Syndicate on tranche 0 must be specified. Syndicate on tranche 1 must be specified.""]}}'"
KR6003452A67,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified. Syndicate on tranche 1 must be specified.""]}}'",
KR6003541A78,2391089.0,,
KR6003671A62,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0]"":[""Syndicate Participation amounts must equal tranche CurrencyAmount.""],""deal.Tranches[1].Syndicate[0].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[1].Id"":[""Id must be a positive number.""],""deal.Tranches[1].Syndicate[0].Id"":[""Id must be a positive number.""]}}'"
KR6003672A61,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0]"":[""Syndicate Participation amounts must equal tranche CurrencyAmount.""],""deal.Tranches[1].Syndicate[0].Id"":[""Id must be a positive number.""]}}'",
KR6003851A64,2391090.0,,
KR6004021A75,2362753.0,,
KR6004022A74,2362754.0,,
KR6004023A73,2362755.0,,
KR6004051A78,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0]"":[""Syndicate Participation amounts must all be filled in.""],""deal.Tranches[1]"":[""Syndicate Participation amounts must all be filled in.""],""deal.Tranches[2]"":[""Syndicate Participation amounts must all be filled in.""]}}'",
KR6004052A77,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0]"":[""Syndicate Participation amounts must all be filled in.""],""deal.Tranches[1]"":[""Syndicate Participation amounts must all be filled in.""],""deal.Tranches[2]"":[""Syndicate Participation amounts must all be filled in.""]}}'",
KR6004053A76,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0]"":[""Syndicate Participation amounts must all be filled in.""],""deal.Tranches[1]"":[""Syndicate Participation amounts must all be filled in.""],""deal.Tranches[2]"":[""Syndicate Participation amounts must all be filled in.""]}}'",
KR6004691A58,2391091.0,,
KR6004692A57,2362757.0,,
KR6004942A89,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[0].Syndicate.Id\', line 1, position 2101.""],""deal"":[""Syndicate on tranche 0 must be specified.""]}}'"
KR6004991A48,2391092.0,,
